label;id;date;query;user;tweet
4;2065871668;Sun Jun 07 09:27:21 PDT 2009;NO_QUERY;ImmaChocoholic;I have so much to do outside! Been looking at it 4 years w/no energy. Totally psyched I have TONS now  What should I do next???
0;1835774749;Mon May 18 06:43:27 PDT 2009;NO_QUERY;drmomentum;@AbsolutSara Yes, I knew about the clusterfark. It's been that way since right after the PhD announcement.  As if we needed another.
0;1967121891;Fri May 29 19:00:46 PDT 2009;NO_QUERY;sweetsheilx;Just woke up and i feel relieved Haha now i have to go to work in 2 hours 
4;1695846172;Mon May 04 07:04:29 PDT 2009;NO_QUERY;monmariej;LOVING the hot weather forecast for the rest of the week!!!!  Summer is almost heeeeere 
4;2017961951;Wed Jun 03 09:13:11 PDT 2009;NO_QUERY;ericasylver;Having a productive morning - then a 90-minute-hot-stone-massage break - Life is good! Work hard
4;1755640581;Sun May 10 09:39:17 PDT 2009;NO_QUERY;LIsaToddSutton;@JimFoss Love it, used to do the same thing at ur age, Ate like a horse 
0;1551778942;Sat Apr 18 09:57:10 PDT 2009;NO_QUERY;edrichmiller;morning folks... here i am bored at work again.. only 5 more hours to go.. then all over again tomorrow 
0;1991908542;Mon Jun 01 07:52:30 PDT 2009;NO_QUERY;lost_dog;@princessofmars I am lost. Please help me find a good home. 
4;2008848730;Tue Jun 02 14:45:15 PDT 2009;NO_QUERY;stripedmama;leaving the nest while i prepare din-din. tweet ya later 
0;2012485944;Tue Jun 02 20:44:14 PDT 2009;NO_QUERY;HopingxAngel;havent been on twitter for a while. im a twitter noob 
0;1989197832;Mon Jun 01 00:40:48 PDT 2009;NO_QUERY;dictashion;missing my family... :'( come back from china soon guys.. please 
0;1976376178;Sat May 30 17:11:30 PDT 2009;NO_QUERY;summercarter;So, I am moving there in July, which is my Summer, but its winter there? I hope its not too cold 
0;1980189947;Sun May 31 05:59:40 PDT 2009;NO_QUERY;merb101;Ugh. I am sick as a dog today. Allergies? Flu? 
4;1998161575;Mon Jun 01 18:05:38 PDT 2009;NO_QUERY;Snuggle97;Is watching Wall-E on Netfix! 
4;1966914071;Fri May 29 18:37:49 PDT 2009;NO_QUERY;XoVictoryXo;@questgod did u get that track... love that dopey beat 
4;2063753236;Sun Jun 07 03:56:34 PDT 2009;NO_QUERY;emilin93;@bradiewebbstack you are the best member off shortstack.!!!!!!!!!!!!!  and i want that to go on record   
0;1557671429;Sun Apr 19 05:26:08 PDT 2009;NO_QUERY;DjHolic;Reached home. Now taking a nap. Thanks NYC it was another great weekend.  @ Ari
0;1835436603;Mon May 18 05:59:31 PDT 2009;NO_QUERY;Dazza_G;Is very ill..   
0;1957114575;Thu May 28 23:33:30 PDT 2009;NO_QUERY;GabbyRose;@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
0;2012641352;Tue Jun 02 21:01:18 PDT 2009;NO_QUERY;kaheainthecity;@kaiminoeau @kaulalani i want another seattle happy hour.    miss you both.
4;1968418319;Fri May 29 21:23:49 PDT 2009;NO_QUERY;kara_beara;@Nat_Flo oh dang it. i sent it again. john has it if anything. 
4;2174972312;Sun Jun 14 23:45:52 PDT 2009;NO_QUERY;jackiekirch;Goodnight 
4;2184044677;Mon Jun 15 15:20:28 PDT 2009;NO_QUERY;johnnymits;Just finished Lost season 4..Absolutely stunning! &amp
4;2000202874;Mon Jun 01 21:37:04 PDT 2009;NO_QUERY;aydaut0;soo this friday... yeahh.. 
0;2054473238;Sat Jun 06 07:25:47 PDT 2009;NO_QUERY;kathaycock;Last night was funnny...soo glad i am not tooo hungover...but gutted that Nadal is not playing at Queens 
0;2179048490;Mon Jun 15 08:34:17 PDT 2009;NO_QUERY;1LKO;Still on the big quest trying to locate my bag  bringgg back o bringg back, bring back my baggie to meeeee (8)
0;2198147555;Tue Jun 16 15:40:09 PDT 2009;NO_QUERY;danscottbrown;My night is set, gonna listen to http://bit.ly/V5jUv all night and then watch Hercules. I really wanna get out of Hull for a while 
0;2060809969;Sat Jun 06 19:37:16 PDT 2009;NO_QUERY;pattyanneco;very down tonight... dunno wat I've done this time 
0;2232317090;Thu Jun 18 19:44:47 PDT 2009;NO_QUERY;SabrinaNicoleUK;@officialTila How do you stay in shape? im petite and i find it hard to balance my weight 
4;1974478614;Sat May 30 13:13:04 PDT 2009;NO_QUERY;NBjoey;Disney World yes! still in KY. about to leave. stoked on the beach. stoked on the magic kingdom. gonna be a longgggg night. 
4;2190010327;Tue Jun 16 01:30:46 PDT 2009;NO_QUERY;gmcasqueiro;Hello and good morning you fuckin' fuckers!!! 
4;2061875943;Sat Jun 06 21:48:55 PDT 2009;NO_QUERY;Jinxie_G;@Whookhie_BDB Yes, he does. 
0;1995290253;Mon Jun 01 13:15:16 PDT 2009;NO_QUERY;ateggerdine;Probably closing. Be home at eleven 
4;1833685761;Mon May 18 00:06:15 PDT 2009;NO_QUERY;alexa_danielle;I could really use a job right now!!! Anyone looking for dental assistants, I'm awesome 
4;1753515831;Sun May 10 02:01:46 PDT 2009;NO_QUERY;tizzle;my first ruby app, let's see how far i get  #pww
4;2072112241;Sun Jun 07 20:25:21 PDT 2009;NO_QUERY;PryncessPoetiq1;It's official: I love twitter  limiting myself to type few words dont even bother me no mo lol
4;2051435433;Fri Jun 05 22:00:50 PDT 2009;NO_QUERY;kristin1205;Just had a much needed chat with a friend i greatly admire!! 
4;1985803184;Sun May 31 17:48:12 PDT 2009;NO_QUERY;mariahisazebra;@nataliejanette did you check your email? 
4;1834150630;Mon May 18 01:49:27 PDT 2009;NO_QUERY;curriebowl;@and_why Yeah I know what you mean re: laptop centric, guess the screens are more for when I work. Will find a home for it 
0;1982261960;Sun May 31 10:51:22 PDT 2009;NO_QUERY;Yzmnt;Heartbroken. - worrying for something that might happen   
0;1793329300;Thu May 14 02:16:11 PDT 2009;NO_QUERY;elenarr;@treehugger25 Awww  I missed you too baby.
0;2051054218;Fri Jun 05 19:46:41 PDT 2009;NO_QUERY;reshmadhanani;one fish taco (mmmm!) down and i'm still alone 
0;1994986290;Mon Jun 01 12:46:15 PDT 2009;NO_QUERY;vickieeeeee;@staceeeeee LOL! .. yeah  but i'm getting a lift with liz so i have to wake up at 5 just to have a shower :\
4;1882913166;Fri May 22 07:41:53 PDT 2009;NO_QUERY;CaribPop;@ashworthedu there have a lot of changes in the past year. It has only been weeks for me 
0;2258243227;Sat Jun 20 15:36:44 PDT 2009;NO_QUERY;chloemcfly;@jessiiemcfly OH NO!  i bet the jonas brothers are inside it x
0;2014995853;Wed Jun 03 03:22:22 PDT 2009;NO_QUERY;beatbackbones;@DRAMAndPLEASURE but that was my fave pic  yeah, i bet
0;2056944184;Sat Jun 06 12:05:02 PDT 2009;NO_QUERY;timwhitlock;@timwhitlock  You've been qwit by @andywhitlock - last seen Sat, 06 Jun 2009, 20:00
0;1975346802;Sat May 30 14:58:06 PDT 2009;NO_QUERY;MellowDownEasyx;Stavros Flatley ...... I'm bored of this b g t talk now wheres the excitement since I have to be in rehab tonight 
0;2061273492;Sat Jun 06 20:31:43 PDT 2009;NO_QUERY;Richooon;I want to go to a wedding. 
0;2065068975;Sun Jun 07 07:49:28 PDT 2009;NO_QUERY;mundobrel;o angustia 
0;1823474018;Sat May 16 22:04:07 PDT 2009;NO_QUERY;xabierr;@sadyn Nope, we're doing Adv at Bedok Library then going to National Lib to do MM 
4;1990550117;Mon Jun 01 05:09:43 PDT 2009;NO_QUERY;PeteThorn;@vickycornell thanks for the pic Vicky! 
4;1961354563;Fri May 29 09:22:29 PDT 2009;NO_QUERY;ArmoryMassage;@kelvinringold I have been inspired..... Short and Long term goal's list, aim.  Looking it over and revising, fire. 
0;2323511658;Thu Jun 25 00:49:03 PDT 2009;NO_QUERY;Aidua;Well, i have to leave for university now 
0;1470197426;Tue Apr 07 08:38:18 PDT 2009;NO_QUERY;nikinic29;work work work. need i say more? 
4;1794186429;Thu May 14 05:11:20 PDT 2009;NO_QUERY;tremchez;@d_tw Not if you're me 
0;2188840335;Mon Jun 15 22:40:23 PDT 2009;NO_QUERY;Kheren; idk why i 'm so sad  i need to somone right now 
4;1685128889;Sat May 02 23:09:56 PDT 2009;NO_QUERY;Lil_JXO;TKO BABY!! GO PAC MAN!! Chillin' w/ fams in Markham, always funnn! 
4;1835672854;Mon May 18 06:30:36 PDT 2009;NO_QUERY;KristenMNichols;CDC, ATL aquarium, SHOPPING, GOSSIP GIRL FINALLLLLE!!!! and then baaaaack tomorrow! 
4;1976321637;Sat May 30 17:04:26 PDT 2009;NO_QUERY;AspenSierra;&quot
0;2060700025;Sat Jun 06 19:24:30 PDT 2009;NO_QUERY;CoachesCorner;@rlangdon - Missed you at #FOVA 
0;2237532503;Fri Jun 19 05:57:35 PDT 2009;NO_QUERY;reimiyazaki;been slogging thru orders e entire day. stealing a breather on mrt. it's back to work after tis. 
4;1986329551;Sun May 31 18:40:50 PDT 2009;NO_QUERY;xCarlosx;#paperwork while @xPlaceoFearx plays #UFCUNDISPUTED. im hyped to finish up my vocals once and for all 
0;1990578534;Mon Jun 01 05:14:08 PDT 2009;NO_QUERY;Monia007;i have to study math!!! 
4;2047986837;Fri Jun 05 14:29:12 PDT 2009;NO_QUERY;MyMarrakesh;@belfastangel Shhhh.....I am hiding them from my husband 
0;1824197764;Sun May 17 00:24:21 PDT 2009;NO_QUERY;sweetest_gurl;i cant sleep and im bored as ever 
4;1990983207;Mon Jun 01 06:10:00 PDT 2009;NO_QUERY;freakyblueeyes;Yesterday I did a necklace in black, bought a striped bikini in black and white, and red sunglasses. Mom paid it all  Summertime outside!
4;1680959254;Sat May 02 12:53:30 PDT 2009;NO_QUERY;Sehrinur;Not home, tweeting from a friends place  Got noting to tell Tweet you tomorow, I think (K)
0;2015371387;Wed Jun 03 04:29:12 PDT 2009;NO_QUERY;DifaJonasLover;@nadhirarchangel Hi, wanna chat? I'm kinda boring now 
4;1993431074;Mon Jun 01 10:21:57 PDT 2009;NO_QUERY;themission13;time to go play my guitar  xo phai
4;1686851838;Sun May 03 06:59:37 PDT 2009;NO_QUERY;OMG_ITS_MELLY;@tommcfly Is Canada in McFly's future?? 
0;1678129734;Sat May 02 05:37:07 PDT 2009;NO_QUERY;ekwisdom;@kc_74074 maybe you're right!!! Too bad she doesn't want to get her hair wet.  I told her I was willing to try some.
4;1677427303;Sat May 02 02:01:18 PDT 2009;NO_QUERY;StevieG144;FREO DOCKERS WIN ANOTHER DERBY, ITS ALL GONE QUIET IN THE EAGLES CAMP LOL WHAT EXCUSE WILL THEY COME UP WITH NOW LOL 
4;2063927792;Sun Jun 07 04:36:54 PDT 2009;NO_QUERY;DarkPiano;@aliceletts Good morning, Alice! Yes, kind of gray and cool here, but I'll take it! 
4;1983660244;Sun May 31 13:35:05 PDT 2009;NO_QUERY;Whit22jmu;I love the summer time! now i just gotta find a pol to start going to 
0;1971387538;Sat May 30 06:59:29 PDT 2009;NO_QUERY;rt_lakers;@ladyk4ever is miserable! The Lakers won n Im sick again! 
4;1752226691;Sat May 09 21:21:32 PDT 2009;NO_QUERY;Itzjon;Tired even though i didn't do much today. glad we got to catch the second half of the cavs game @juicyjesso 
0;2071364550;Sun Jun 07 19:16:33 PDT 2009;NO_QUERY;5windows;@DCBrent when i got there they said you just left 
4;1553834021;Sat Apr 18 15:20:11 PDT 2009;NO_QUERY;FourLeggedMedia;@emileefuss good to know...didn't want to be, well, surprised! 
4;2182479784;Mon Jun 15 13:13:32 PDT 2009;NO_QUERY;slicklaroo;@MikeBadlose fresh cut grass, flowers with a touch of humidity, lingering chlorine and the slightest hint of dog poo.  Mmmm ahhhhh 
4;2001646549;Tue Jun 02 01:35:04 PDT 2009;NO_QUERY;_michelleeee;its 4:30 in the morning, &amp
4;2072298818;Sun Jun 07 20:45:39 PDT 2009;NO_QUERY;vivid13;@kcpitmaster sounds like some pretty good reasons to be loving life. Good on ya, and congratulations 
4;1694365634;Mon May 04 02:17:43 PDT 2009;NO_QUERY;Necromantis;had a great shot yesterday, editing pics now 
